title,bedrooms,bathrooms,car_spaces,land_size,building_size,multiple_floor,issecurity,isgarden,isbalcony,iscourtyard,lokasi, harga 
DIJUAL RUMAH READY STOK SIAP HUNI HARGA DI BAWAH PASARAN DISERPONG,3,2,1,80,55,1,1,1,1,0,"Serpong, Tangerang Selatan"," Rp790,000,000.00 "
"new modern minimalis berlokasi dekat Pondok Cabe, wilayah berkembang",3,2,2,64,70,1,1,0,0,0,"Pondok Cabe, Tangerang Selatan"," Rp800,000,000.00 "
RUMAH NUANSA BALI DP 0% SELATAN BSD SIAP HUNI,3,3,2,72,80,1,1,1,1,1,"Serpong, Tangerang Selatan"," Rp500,000,000.00 "
"Hunian Nyaman 2,5km St Sudimara, 950m Superindo, 4km RS Sari Asih",3,2,1,80,50,1,0,0,0,0,"Ciputat, Tangerang Selatan"," Rp850,000,000.00 "
Dijual Rumah Bagus Siap Huni di Puri Bintaro Hijau,2,1,1,66,60,1,1,0,0,0,"Bintaro, Tangerang Selatan"," Rp620,000,000.00 "
DI JUAL RUMAH MINIMALIS MODERN,2,1,1,72,45,1,0,0,0,0,"Pondok Benda Baru, Tangerang Selatan"," Rp520,000,000.00 "
Rumah Cantik 2 Lantai Harga menarik siap huni,3,2,1,72,72,1,0,0,0,0,"Pamulang Barat, Tangerang Selatan"," Rp868,000,000.00 "
"rumah dijual dalam cluster, akses tol berjarak dekat",3,2,1,70,60,1,0,0,0,0,"Pondok Cabe, Tangerang Selatan"," Rp700,000,000.00 "
"Banyak Promo Rumah 2Lt Launching 23 April 2022, Lippo Village Karawaci",2,2,1,60,55,1,0,1,0,0,"Pamulang, Tangerang Selatan"," Rp691,000,000.00 "
RUMAH 2 LANTAI SANGAT STRATEGIS DI PAMULANG TANGERANG SELATAN,4,3,1,121,210,1,1,0,0,0,"Pamulang Timur, Tangerang Selatan"," Rp900,000,000.00 "
Rumah Murah 2 lantai di Cluster Ayama,2,2,2,60,54,1,1,1,0,1,"Serpong, Tangerang Selatan"," Rp765,000,000.00 "
Perumahan Baru Di Bsd Serpong Konsep Jepang Bernuansa Danau Banyak Pilihan Tipe,3,2,1,71,72,1,0,1,0,1,"Serpong, Tangerang Selatan"," Rp600,000,000.00 "
Rumah Luas Lokasi Strategis SHM berada di Serpong Tangerang Selatan,3,2,1,136,80,1,0,0,0,0,"Serpong, Tangerang Selatan"," Rp700,000,000.00 "
RUMAH 2 LANTAI DI BINTARO TANGERANG SELATAN,3,2,1,40,55,1,1,1,0,1,"Pondok Cabe, Tangerang Selatan"," Rp795,000,000.00 "
Rumah second siap huni nyaman asri,4,2,1,100,180,1,1,1,1,0,"Pamulang, Tangerang Selatan"," Rp920,000,000.00 "
Rumah Murah Konsep Jepang Di Bsd Tangerang selatan Project Baru Bernuansa Danau,3,3,1,103,112,1,0,1,0,1,"Serpong, Tangerang Selatan"," Rp600,000,000.00 "
Rumah 2lantai di pamulang Serpong DP15JUTA Cicilan 5juta,2,2,1,60,63,1,0,1,0,1,"Serpong, Tangerang Selatan"," Rp797,000,000.00 "
Rumah di perum Payungmas Residence CIPUAT -PAMULANG,2,1,1,96,60,1,1,1,1,1,"Ciputat, Tangerang Selatan"," Rp700,000,000.00 "
Op95.Hunian Mewah Mezanine Strategis Promo Dp 0% Free Biaya Pamulang,3,1,1,70,45,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp695,000,000.00 "
S376.Rumah Cantik Hrg Murah berkualitas bangunan hrg 600jtan Ciputat,2,1,1,60,45,1,0,0,0,0,"Ciputat, Tangerang Selatan"," Rp695,000,000.00 "
Rumah Hook di perumahan muslim di Pamulang Tangsel,2,1,1,72,36,1,1,1,0,0,"Pamulang, Tangerang Selatan"," Rp600,000,000.00 "
E Lagoon,3,2,1,60,65,1,1,0,0,0,"Ciputat, Tangerang Selatan"," Rp890,000,000.00 "
Hunian Modern Tropis Kekinian Strategis dkt ke kntr walikota Pamulang,3,2,1,65,80,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp990,000,000.00 "
Dijual Rumah sisp Huni Reni Jaya Pamulang Tangerang Selatan,2,1,1,72,50,1,1,0,0,0,"Pamulang, Tangerang Selatan"," Rp675,000,000.00 "
Valencia Serpong 2 lantai DP 15juta Langsung Akad Free Biaya KPR,2,1,1,1,1,1,1,1,0,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp800,000,000.00 "
Rumah Murah near Bintaro Pondok Aren,3,2,1,102,70,1,1,0,0,0,"Bintaro, Tangerang Selatan"," Rp775,000,000.00 "
PALING MURAH di NUSALOKA BSD (BU),3,1,1,84,60,1,0,0,0,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp950,000,000.00 "
Rumah 1lt murah di pamulang,2,1,1,70,45,1,1,1,0,0,"Pamulang, Tangerang Selatan"," Rp650,000,000.00 "
Rumah 2 lantai Bintaro,4,3,1,72,104,1,0,0,0,0,"Bintaro, Tangerang Selatan"," Rp1,000,000,000.00 "
"Harmony Serpong 2 LT , hoek, Seberang Serpong Jaya , Tangsel",3,2,1,119,80,2,0,0,0,0,"Setu, Tangerang Selatan"," Rp995,000,000.00 "
Rumah 1 Miliar 2 Lantai siap huni bisa DP 0% di serpong,3,2,1,63,80,1,1,0,1,0,"Serpong, Tangerang Selatan"," Rp1,000,000,000.00 "
"Rumah bebas Banjir dekat BSD, AEON dan LRT Serpong Tanpa Bank - Kareem Properti",3,2,1,91,95,2,1,1,0,1,"Bintaro, Tangerang Selatan"," Rp877,000,000.00 "
dijual Rumah cepat 2 lantai bisa kredit di graha raya,3,2,1,60,65,1,1,1,1,1,"Ciputat, Tangerang Selatan"," Rp995,000,000.00 "
"APARTHOUSE 2,5 LANTAI DI BINTARO SEKTOR 9 BINTARO",3,2,1,50,84,1,1,1,1,0,"Bintaro, Tangerang Selatan"," Rp1,000,000,000.00 "
"Dijual Rumah siap huni di Villa Jombang Baru, Jombang Ciputat",3,2,1,78,110,1,1,0,0,0,"Bintaro, Tangerang Selatan"," Rp975,000,000.00 "
Rumah Asri dekat Stasiun Sudimara Tangsel,3,2,1,120,95,1,1,1,0,0,"Ciputat, Tangerang Selatan"," Rp900,000,000.00 "
